context,generated_question,generated_answer
"If, like my wife and I, you're blessed with soft tap water, and like a good robust ""English Breakfast Tea"", I've found that this blend (mostly dark assam) is a pretty decent choice, and a good value.  I believe it's packaged by the same company that makes ""PG-Tips"" in the handy pyramid bags.  The quality is comparable.  I generally buy the brooke bond loose for making everyday tea by the pot, and I buy pg tips pyramid bags for travelling.<br /><br />Anyway, I buy the Brooke Bond loose on a regular basis - either online, or at a local indo-pakistani grocer.  I've also bought the Taj Mahal label by the same company, but they appear to be interchangeable, and differ only by the art on the box.  The loose tea is in small granule form, and comes sealed in a foil pouch, for freshness ... it's not flushed with neutral gas, and they dont vaccum pack it because they dont want to crush the tea, but otherwise the quality is pretty decent.  It comes in a variety of sizes, buy the most common size I buy is 900 grams (2 lbs) or 1800 gr (4lbs).<br /><br />The resulting tea is not quite as floral as some assams I've had (hey, it's bulk tea), and there's often a modest amount of tea dust in the bottom of the pouch, but the dust is easily removed by pouring the dry tea into a fine strainer, and tapping the strainer over the garbage (to winnow it), before brewing it.<br /><br />In my household, I generally buy loose tea in bulk, de-dust it, then repackage it in one or more 40 fl oz glass jars using a univeral vaccum sealing lid (see Tilia Food Saver), and then I use those to periodically refill a smaller 16-24 oz convenience container that I keep near my stove, for whenever I want to brew a fresh pot of tea.<br /><br />I've found that 1/4 cup of loose tea is sufficient for a 6 cup pot, and 1/4 - 1/3 cup is sufficient for 8 cups.  After brewing is done (3-5 mins), I pour the brewed tea through a fine tea strainer into serving cups, and the surplus goes into a lidded glass carafe that gets stored in the fridge (after it cools) for subsequent reheating by the cup (re: microwave), or for use in iced tea by the jug (just add some simple syrup and fresh lemon juice to taste, and some optional bruised mint leaves, and you're good to go).<br /><br />Bottom line - for an inexpensive loose bulk tea, this brand is very decent all purpose choice, suitable for both hot and iced tea.  Recommended.",What type of tea does the Brooke Bond loose have?,brooke bond
"We have bought it now 3-4 times from amazon and enjoy it everytime we buy it. If you like really strong tea, this brand will be my number one recommendation to you. Shipping and pricing is amazingly great.",How many times have we bought tea from amazon?,3-4 times
"This is review for the tea, Red label tea has been around in India since ages and is awesome when fresh (make sure it is not expired). Traditional method is<br />-- boil water with  team<br />-- add flavors fresh cinnamon sticks, clove, ginger<br />-- filter and set tea apart<br />-- warm 1% milk<br />-- add 75% mild, 25% filtered tea<br />-- enjoy with biscuits!",What is the name of the review for the tea?,Red label tea
"This is a new treat for our ""kids"". They are pretty picky eaters, especially my girl! They both love 'em. Glad I found this product. Reasonably priced too","What is a new treat for our ""kids""?",They are pretty picky eaters
"for any kind of baking on a flat sheet - parchment gives even baking results and allows the product to release from the pan without any oil or grease products. I love the way I can slide the sheet off, put another one on and off I go - the quickest way to bake! Buying rolls is messy since the boxes never hold up and you may tear too much or too little. With the sheets they pop right out and there is no waste. The boxes also hold up since you are not pushing on them trying to cut. I never cook without them.",What is the best way to bake rolls?,"slide the sheet off, put another one on and off I go"
"No matter what sized pan, this always seems to be the right size to line it.  I also use it for covering when I microwave. Works great with roasting veggies and baking cookies.  And you can use it a few times too, don't have to throw it away right away.",What type of pan does this always seem to be the right size?,what sized
I had never used parchment paper until I bought this and the version that tears off from a roll.  I will never bake again without it!  My cookies are beautiful!  Professional results in my little kitchen.  I can't wait for the xmas creations later this year!  Highly recommend.,What did I never use parchment paper until I bought it?,the version that tears off from a roll
These individual unbleached parchment sheets save me so much time from having to cut from a roll!  I make whoopie pies from scratch and sell them and this is an immense time saver for me.  Would highly recommend!,What is an amazing time saver for me?,whoopie pies
I e-mailed the company and found out that one serving consists of about 22 chips.<br /><br />Love the texture and taste of these chips. The only complaint I have is that I can't stop eating them.,What was the only complaint I have about the chips?,I can't stop eating them
"This is such a delicious snack.. My kids and I LOVE them.. White Cheddar is our favorite. I went to Costco today hoping to find them again as that is where I originally purchased them.  Unfortunately, it was one of those fly by night items that is in and out too quickly..  I am planning on purchasing them thru Amazon as my girls are dying for another bag... The best part is that it is a relatively healthy snack... Two thumbs up from this mom.!!!",What is White Cheddar?,our favorite
"These yogurt pretzels taste great and even with shipping, most are intact. Our kids really like them as a snack and they are great to-go.",What kind of pretzels do our kids like yogurt pretzels?,a snack
"Here's the problem:  I love green tea and all the health benefits, but I can't deal with caffeine after about 3pm.  So what to do?<br /><br />This tea does the trick!  It's really tasty, if a bit lacking in bite, and I'm confident it's quite good for me.  I'm now drinking this instead of my multiple glasses of water in the afternoon :)",What is the problem with green tea?,I love green tea and all the health benefits
